source_center,destination_center,route_type,trip_count,median_delay_ratio,mean_factor,sla_breach_pct,severe_breach_pct,avg_actual_min,avg_osrm_min,avg_dist_km,edge_weight
IND000000ACA,IND140406AAA,FTL,6,1.7421052631578946,2.1973684210526314,1.0,1.0,21.5,12.166666666666666,17.194283333333335,1.7421052631578946
IND854326AAB,IND854334AAA,FTL,3,3.6923076923076925,3.9159544159544164,1.0,1.0,57.0,15.666666666666666,22.459533333333336,3.6923076923076925
IND854334AAA,IND852118AAA,FTL,7,1.3333333333333333,1.3197278911564625,1.0,0.0,28.285714285714285,21.428571428571427,23.88137142857143,1.3333333333333333
IND509124AAA,IND509103AAB,FTL,18,1.8571428571428572,1.987968586424469,1.0,0.7777777777777778,38.44444444444444,19.444444444444443,22.840094444444443,1.8571428571428572
IND509124AAA,IND509103AAC,FTL,7,1.6363636363636365,1.7658040488922844,1.0,0.5714285714285714,42.714285714285715,22.0,25.711442857142856,1.6363636363636365
IND509124AAA,IND518002AAA,FTL,3,2.1363636363636362,2.971380471380471,1.0,1.0,63.0,20.666666666666668,27.84613333333333,2.1363636363636362
IND509124AAA,IND584101AAA,FTL,6,1.517777777777778,1.7427375201288244,1.0,0.5,27.666666666666668,18.333333333333332,17.25855,1.517777777777778
IND509216AAC,IND501359AAE,FTL,10,2.829710144927536,2.454578392621871,1.0,0.7,33.5,12.5,15.74063,2.829710144927536
IND509301AAA,IND509216AAC,FTL,9,1.588235294117647,2.483841684822077,1.0,0.5555555555555556,29.444444444444443,12.666666666666666,17.830177777777777,1.588235294117647
IND509324AAA,IND508248AAB,FTL,16,2.1176470588235294,2.308041101055807,1.0,1.0,37.25,16.4375,23.87810625,2.1176470588235294
IND509358AAA,IND508248AAB,FTL,24,2.1470588235294117,2.1651775988173045,1.0,0.9583333333333334,43.875,20.583333333333332,28.794808333333332,2.1470588235294117
IND515004AAA,IND515411AAA,FTL,6,2.1911764705882355,2.645658263305322,1.0,1.0,32.666666666666664,13.166666666666666,19.189333333333334,2.1911764705882355
IND515004AAA,IND515671AAA,FTL,26,1.875,3.3334126984126984,1.0,0.8846153846153846,43.03846153846154,16.307692307692307,19.924646153846155,1.875
IND515004AAA,IND515801AAA,FTL,6,2.34375,2.254372024846163,1.0,0.8333333333333334,47.166666666666664,19.0,26.721466666666668,2.34375
IND848101AAA,IND844505AAB,FTL,20,2.9705882352941178,4.4072927416580665,1.0,1.0,48.1,14.7,20.890705,2.9705882352941178
IND848114AAA,IND848210AAA,FTL,21,1.72,1.7963997113997114,1.0,0.8571428571428571,43.80952380952381,24.38095238095238,23.708871428571427,1.72
IND848210AAA,IND842001AAA,FTL,12,3.7666666666666666,3.8878156565656568,1.0,0.9166666666666666,70.75,17.0,21.629041666666666,3.7666666666666666
